sentence;class
Информация об участниках команды ;0
  Организация работы ;0
  Встречи с научным руководителем и куратором ;0
  Оценки ролей и вкладов по каждому участнику ;0
СПИСОК ЛИТЕРАТУРЫ ;0
ЗАКЛЮЧЕНИЕ ;0
Информация об участниках команды;0
Команда состоит из трех человек;0
Ниже приведена информация об участниках команды с описанием интересов в сфере разработки ПО;0
Иванов Дмитрий Игоревич;0
Интересы в сфере разработки ПО;0
Веб-разработка;0
Анализ данных;0
работа с данными;0
Языки программирования;0
C#, Python, Java;0
Мирзаева Саодат Синдар кизи;0
Интересы в сфере разработки ПО;0
Веб-разработка;0
Web-дизайн;0
Создание макетов приложений;0
Языки программирования;0
C#, Python, C++, Java;0
Тургунбаева Айжан Данияровна;0
Интересы в сфере разработки ПО;0
Работа с базами данных;0
Web-дизайн;0
Работа с алгоритмами;0
Языки программирования;0
C#, Python, Java, PHP;0
 Организация работы;0
Для организации командной работы были использованы следующие инструменты;0
ВКонтакте   для непрерывного общения текстом;0
MS Teams   для встреч с научным руководителем;0
А также запланированные встречи в университете;0
Разработка проекта велась в распределенной системе управления версиями Git через веб-сервис GitHub;0
Встречи с научным руководителем проходили продуктивно и в назначенное время;0
Команда не испытывала серьезных проблем при разработке проекта, одной из проблем можно назвать изучение новых технологий инструментов разработки, однако, несмотря на это, все участники команды справились с возложенными на них задачами;0
Список решенных задач представлен в таблице ;0
Во время работы над проектом иногда возникали проблемы, связанные с представлением проекта публике;0
Научный руководитель помогал в решении данной проблемы;0
Таблица ;0
Участник;0
Решенные задачи;0
Тургунбаева Айжан Данияровна;0
Изучение библиотек, сбор информации учебного плана для БД;1
Реализация и структурирование информации учебного плана в файле xlsx;1
Проектирование БД и импорт данных;1
Разработка алгоритма для визуализации календарного учебного графика с привязкой к календарю;1
Написание отчета;0
Мирзаева Саодат Синдар кизи;0
Верстка веб-страниц;1
Разработка дизайна веб-приложения;1
Поиск и подготовка информации для визуализации календарного учебного графика;1
Реализация интерфейса календаря;1
Оформление и написание отчета;0
Иванов Дмитрий Игоревич;0
Ознакомление с открытой литературой по предметной области;1
Подключение БД к среде разработки;1
Создание моделей базы данных;1
Написание научной статьи;1
Написание отчета;0
Так как у проекта был четкий дедлайн, для выполнения работы вовремя, был разработан календарный план, продемонстрированный в таблице ;0
Задачи были распределены между командой, основываясь на интересах участников;0
Таблица ;0
Срок;0
Содержание;0
Ответственный;0
Определение предметной области и тематики проекта;1
Вся команда;0
Обзор учебной и научной литературы по теме проекта;1
Вся команда;0
Выбор технологий и языков программирования для разработки;1
Мирзаева С.С;0
 Сбор информации учебного плана для БД;1
Тургунбаева.А.Д;0
Структурирование информации учебного плана в файле xlsx;1
Тургунбаева.А.Д;0
Проектирование БД и импорт данных;1
Тургунбаева.А.Д;0
Подключение БД к среде разработки;1
Иванов.Д.И;0
Разработка алгоритма для визуализации календарного учебного графика с привязкой к календарю;1
Тургунбаева.А.Д;0
Создание дизайн-макета страницы;1
Мирзаева.С.С;0
Реализация интерфейса календаря;1
Мирзаева.С.С;0
Создание дизайн-макета, верстка страницы в HTML ;1
Мирзаева С.С;0
Работа с презентацией;0
Написание научной статьи;1
Иванов.Д.И;0
Тестирование приложения;1
Вся команда;0
Исправление выявленных ошибок;1
Вся команда;0
Подготовка текста отчёта по практике;0
Вся команда;0
Сдача отчета по технологической  практике;0
Вся команда;0
 Встречи с научным руководителем и куратором;0
 В ходе работы над проектом наша команда очно встретилась с научным руководителем несколько раз, в основном это были первые встречи, на которых мы обсуждали план работы, поставленные задачи, а также корректировали направление проекта и демонстрировали, этапы, которые мы уже прошли;0
В основном мы организовывали небольшие встречи с использованием программы Microsoft Teams, на которых мы обсуждали проблемы, с которыми столкнулись и методы их решения;0
Также задавали различные вопросы в онлайн чате Teams;0
 Также за нашей командой был закреплен куратор  курса, который направлял нас и давал полезные советы из своего опыта;0
С ним тоже встречи проходили с использованием программы Microsoft Teams;0
