sentence;class
ЗАКЛЮЧЕНИЕ           ;0
Работа команды была организована дистанционно с использованием приложения для голосового, видео- и текстового общения   Discord и Microsoft Teams;0
Работа команды была исполнена в полном объёме, все задачи и цели были выполнены в режиме открытой коммуникации т.е;0
любой из участников мог помочь другому для более эффективного решения проблемы, а также любые задачи и цели были обговорены командой;0
Таблица ;0
Данные студента Друганова Артема Викторовича;0
ФИО;0
Друганов Артем Викторович;0
Роль;0
Проектный руководитель;0
Интересы в сфере разработки ПО;0
Математическое моделирование информации;0
Работа с парсерами и информацией сайтов;0
Разработка пользовательского интерфейса;0
В рамках проекта участнику достались задачи;0
Изучение научных подходов для анализа данных;1
Внедрение методов корреляционного и регрессионного анализа;1
Изображение выходных данных для визуального анализа;1
Вывод исходных данных;1
Обработка фильтров;1
Привязка данных из Excel, для работы внутри программы;1
Оптимизация работы кода;1
По окончанию работы над проектом, все поставленные задачи были выполнены;0
Таблица ;0
Данные студента Катанаева Дмитрия Михайловича;0
ФИО;0
Катанаев Дмитрий Михайлович;0
Роль;0
Программист;0
Интересы в сфере разработки ПО;0
Frontend;0
Backend;0
Работа с нейросетями;0
В рамках проекта участнику достались задачи;0
Изучение научных подходов для анализа данных;1
Обработка исходных и входных данных;1
Внедрение регрессионного анализа;1
Разработка пользовательского интерфейса;1
Связь программ, созданных на разных платформах;1
По окончанию работы над проектом, все поставленные задачи были выполнены;0
Таблица ;0
Данные студента Жирякова Валентина Станиславовича;0
ФИО;0
Жиряков Валентин Станиславович;0
Роль;0
Разработчика интерфейса;0
Интересы в сфере разработки ПО;0
Frontend;0
Разработка пользовательского интерфейса;0
В рамках проекта участнику достались задачи;0
Разработка пользовательского интерфейса;1
Внедрение методов корреляционного анализа;1
Обработка входных данных;1
По окончанию работы над проектом, все поставленные задачи были выполнены;0
Календарный план работы;0
Изучение статистических методов анализа данных;1
Дата;0
Итог;0
Были изучены необходимые методы статистического анализа;0
Парсинг необходимой информации с сайтов;1
Дата;0
Итог;0
Собраны датафреймы с трех интернет-площадок  при помощи веб-инструмента Web Scraper;0
Разработка первоначального кода Python;1
Дата;0
Итог;0
Написан обработчик исходных данных, внедрена первая версия регрессионного анализа, получен первый выходной файл;0
Визуальный анализ статистической модели и оптимизация кода;1
Дата;0
Итог;0
Связав графики корреляционного и регрессионного анализов, была замечена связь каждого из параметров;0
Была ускорена работа программы ;0
Разработка интерфейса программы;1
Дата;0
Итог;0
Создан интерфейс программы на Windows Forms, добавлена возможность добавления .xlsx файлов и их отрисовки на поле, а также фильтр для отсеивания неподходящих данных;0
Введение дополнительного функционала;1
Дата;0
Итог;0
В приложение была введена функция предсказания цены на недвижимость по её основным параметрам;0
Итоги командной работы с куратором;0
По итогам командной работы с куратором были выявлены множественные недочёты в программе, которые вследствие были исправлены, оказана помощь в написании статьи, предложены идеи для решения трудностей и способствование в оптимизации работы приложения;0
Итоги встреч с руководителем;0
Проведено тестирование работы программного приложения, исправлены недочёты в оформлении отчета;0
Возникшие сложности в работе над проектом;0
Трудоемкость выполнения работы, работа с координатами, инициализация Python кода внутри интерфейса;0
Оценка роли каждого из участников;0
Друганов Артем Викторович   руководитель работы над проектом;0
Оценка качества работы;0
выполнил % из возложенных задач;0
Жиряков Валентин Станиславович   разработчик пользовательского интерфейса;0
Оценка качества работы;0
выполнил % из возложенных задач;0
Катанаев Дмитрий Михайлович - программист;0
Оценка качества работы;0
выполнил % из возложенных задач;0
Заключение;0
