sentence;class
 ЗАКЛЮЧЕНИЕ ;0
Состав команды;0
Дрожащих Григорий Александрович;0
Интересы;0
Gamedev, Unity, разработка чат-ботов;0
Задачи;0
изучение существующих подходов и методов решения задачи;1
разработка механизма обработки входных данных и подбора рекомендаций ;1
реализация чат-бота в социальной сети ВКонтакте;1
Общее резюме работы участника от команды;0
студент добросовестно и в срок выполнял поставленные задачи, активно участвовал в командных обсуждениях, помогал команде в решении возникающих проблем;0
Маева Елизавета Олеговна;0
Интересы;0
Работа с базами данных и Windows Forms, математический анализ;0
Задачи;0
разработка базы данных;1
разработка миграций Laravel ;1
запуск бета-версий чат-бота и календаря мероприятий;1
Общее резюме работы участника от команды;0
добросовестно и с должным вниманием выполнила задачу разработки базы данных, активно участвуя в командных собраниях, предлагала интересные идеи по реализации, с энтузиазмом отзывалась на просьбы участников команды;0
Низамов Тимур Дамирович;0
Интересы;0
разработка мобильных приложений, операционные системы, геймификация, методы машинного обучения;0
Задачи;0
изучение области применения приложения и возможностей его внедрения;1
презентация первого этапа работы над проектом см;0
Приложение ;0
реализация чат-бота в социальной сети ВКонтакте;1
разработка back-end календаря мероприятий Laravel ;1
запуск бета-версий чат-бота и календаря мероприятий, выступление на конференции см;1
Приложение  и подготовка научной статьи см;0
Приложение ;0
Общее резюме работы участника от команды;0
грамотно распределил роли в команде и подзадачи, досконально проверял качество выполнения поставленных задач;0
Добросовестно разработал back-end календаря мероприятий и провел рефакторинг кода чат-бота;0
Хижняков Даниил Иванович;0
Интересы;0
Разработка Web-интерфейсов и back-end, машинное обучение;0
Задача;0
разработка front-end календаря мероприятий ;1
Общее резюме работы участника от команды;0
качественно реализовал интерфейс календаря мероприятий, предусмотрев разнообразный функционал, делал замечания и вносил дельные предложения в ходе командных встреч;0
В начале практики между участниками команды были распределены задачи, назначены сроки завершения и ответственные за выполнение табл;0
Таблица ;0
План работы;0
Текст задачи;0
Срок завершения;0
Ответственный;0
Изучение области применения приложения и возможностей его внедрения;1
 апреля;0
Т.Д;0
Низамов;0
Изучение существующих подходов и методов решения задачи;1
 апреля;0
Г.А;0
Дрожащих;0
Разработка базы данных;1
 мая;0
Е.О;0
Маева;0
Разработка механизма обработки входных данных и подбора рекомендаций;1
 мая;0
Г.А;0
Дрожащих;0
Реализация чат-бота в социальной сети ВКонтакте;1
 мая;0
Г.А;0
Дрожащих, Т.Д;0
Низамов;0
Разработка front-end календаря мероприятий;1
 мая;0
Д.И;0
Хижняков;0
Разработка back-end календаря мероприятий;1
 мая;0
Т.Д;0
Низамов;0
Запуск бета-версий чат-бота и календаря мероприятий, выступление на научной конференции;1
 мая;0
Е.О;0
Маева,;0
Т.Д;0
Низамов;0
Работа в команде была продуктивной, выполнялась в атмосфере взаимного доверия и дружелюбия;0
В ходе работы активно применялись инструменты группового взаимодействия;0
система контроля версий Git , Kanban-доска и файловое хранилище в Microsoft Teams;0
Взаимодействие с научным руководителем Воробьевой Мариной Сергеевной было осуществлено посредством еженедельных очных встреч и электронной почты;0
Также к команде был прикреплен куратор с четвертого курса Бекмагамбетова Дарья Расуловна, которая активно участвовала в собраниях команды, делилась мнением и давала советы по использованию технологий, выполнению задач;0
ЗАКЛЮЧЕНИЕ;0
