sentence;class
 Описание участников                                                                  ;0
 Календарный план работ ;0
ЗАКЛЮЧЕНИЕ ;0
ОПИСАНИЕ УЧАСТНИКОВ КОМАНДЫ;0
ФИО;0
Верёвкин Владимир Николаевич;0
Роль в команде;0
Разработчик метода классификации;0
Интересы в IT;0
Back-end, Web-технологии, MobileDev, машинное обучение, настройка режимов работы электронных контроллеров путём коррекции внутренних управляющих программ;0
Мнение Веревкина Владимира о работе;0
 Эта технологическая практика дала бесценный опыт работы в команде;0
Что касается темы проекта   она была интересна всем участникам проекта, мне было интересно искать информацию и реализовывать различные методы;0
В ходе выполнения я столкнулся с определенными трудностями, т.к;0
моих знаний очень сильно не хватало для выполнения порученной мне работы, не все пошло так, как я планировал, и не вся моя работа была успешно выполнена;0
КАЛЕНДАРНЫЙ ПЛАН РАБОТ;0
График выполнения работ;0
 Сроки выполнения;0
Наименование работ;0
Составление краткого представления будущей работы;0
Встреча с научным руководителем;0
Корректирование названия, постановка цели, определение проблемы и аудитории, постановка задач, распределение работы между участниками команды;0
Изучение материалов для реализации классификатора;1
Встреча с научным руководителем;0
Выбор математической модели для решения задачи классификации;1
Встреча с научным руководителем;0
Изучение выбранной модели;1
Встреча с научным руководителем;0
Изучение градиентного бустинга;1
Разметка категорий публикаций для обучающей и тестовой выборки;0
Изучение библиотеки  XgBoost для реализации классификатора;1
Реализация классификации при помощи модуля классификации с обученными моделями XgBoost;1
Определение категорий публикаций реализованным методом;1
Актуализация данных, сбор информации из группы Вконтакте -;1
Тюменский государственный университет | ТюмГУ;0
Разметка новой тестовой выборки;1
Ручное присваивание полученным данным категорий;1
Использование метода классификации на тестовой выборке;1
Определение точности модели;1
Разметка новой обучающей выборки с последующем обучением модели на ней;1
Обучение модели;1
Определение новой точности;1
Заполнение документов для отчета по технической практике;0
Встречи с научным руководителем;0
Подпись документов;0
Защита / сдача отчета о результатах практики;0
ЗАКЛЮЧЕНИЕ;0
