sentence;class
ОПИСАНИЕ УЧАСТНИКОВ КОМАНДЫ ;0
КАЛЕНДАРНЫЙ ПЛАН РАБОТ ;0
 ЗАКЛЮЧЕНИЕ ;0
ОПИСАНИЕ УЧАСТНИКОВ КОМАНДЫ;0
Команда   это группа людей, объединенных достижением общей цели, во многом соответствующей личным целям каждого;0
Большинство исследователей отмечают три ключевых признака команды;0
сотрудничество, разнообразие задач, ответственность за всю работу в целом и ее анализ;0
 Участники команды;0
 Егорова Елизавета Владимировна см;0
Таблица ;0
Таблица ;0
Роль и интересы в it Егоровой Е. В;0
Роль в команде;0
Разработчик;0
Фронт-менеджер;0
Ответственная по работе с данными;0
Интересы в IT-сфере;0
Data Science;0
Глубокое обучение;0
Анализ данных;0
Дискретная математика;0
В рамках работы над данным проектом перед Елизаветой были поставлены следующие задачи;0
Сбор и предобработка данных;1
Создание базы данных;1
Ознакомление с материалами по существующим методам классификации новостных публикаций;1
Реализация методов для определения ключевых слов и категории публикации;1
Заполнение документации в течение всего периода технологической практики;1
По окончанию работы над проектом все поставленные задачи были успешно выполнены;0
Согласованная оценка работы Егоровой Елизаветы Владимировны;0
Роль   %;0
Вклад в проект   %;0
Мнение Егоровой Елизаветы о командной работе;0
 Технологическая практика стала для меня новым опытом работы в команде;0
Тема работы была очень интересной для меня;0
Очень интересно было узнавать что-то новое;0
Алина своевременно и качественно выполняла поставленные задачи;0
Считаю, что наша команда выполнила свою работу достойно, хоть и сталкивалась с трудностями, но всегда была помощь от руководителя и наставника, и создала хороший проект, у которого есть потенциал к развитию;0
 Дадашзаде Алина Исмаиловна см;0
Таблица ;0
Таблица ;0
Роль и интересы в it Дадашзаде А. И;0
Роль в команде;0
Web-разработчик;0
Интересы в IT;0
Web-технологии, архитектура приложений, разработка мобильных приложений;0
В рамках работы над проектом перед Алиной были поставлены следующие задачи;0
Изучение информации о работе JavaScript   фреймворках React и Express;1
Создание макета интерфейса для пользовательского сервиса;1
Разработка пользовательского сервиса;1
Заполнение документации в течение всей технологической практики;1
По окончанию работы над проектом все поставленные задачи были успешно выполнены;0
Согласованная оценка работы Дадашзаде Алины Исмаиловны;0
Роль   %;0
Вклад в проект   %;0
Мнение Дадашзаде А.И;0
о командной работе;0
 Данная технологическая практика была хорошим опытом командной работы;0
Сама тема проекта очень актуальна;0
Считаю, что со своими задачами справилась вполне достойно и своевременно;0
Всегда откликалась на просьбы о помощи остальных участников команды;0
Я приобрела хороший опыт командной работы и сделала вывод, что к выбору участников команды нужно относиться осознанно, а не для нужного количества;0
Считаю, что наша команда выполнила свою работу достойно, хоть и сталкивалась с трудностями, но всегда была помощь от руководителя и наставника, и создала хороший проект, у которого есть потенциал к развитию;0
Так же хотела бы в будущем продолжить изучать web-технологии, так как меня очень заинтересовала эта тема;0
КАЛЕНДАРНЫЙ ПЛАН РАБОТ;0
Последовательность и сроки выполнения заданий см;0
Таблица ;0
Таблица ;0
Календарный план работ;0
Срок;0
Содержание;0
Форма отчёта;0
Корректирование названия, постановка цели, определение проблемы и аудитории, постановка задач, распределение работы между участниками команды;0
Введение в отчёт по практике;0
Создание макета пользовательского сервиса;1
Параграф отчета по практике;0
Создание методов для сбора данных;1
Параграф отчета по практике;0
Создание реляционной модели базы данных;1
Параграф отчета по практике;0
Выбор математической модели для решения задачи определения категорий;1
Ознакомление с материалами по существующим методам классификации новостных публикаций;1
Параграф отчета по практике;0
Изучение материалов о TF-IDF;1
Параграф отчета по практике;0
Реализация TF-IDF и метода для определения категорий;1
Параграф отчета по практике;0
Реализация пользовательского сервиса;1
Создание API сервера;1
Связывание API с Front-end частью;1
Параграф отчета по практике;0
Подготовка к конференции Выступление;0
Конференция;0
Написание статьи;0
Приложение ;0
Подготовка отчетных документов по результатам практики;0
Текст доклада и других документов;0
ЗАКЛЮЧЕНИЕ;0
