sentence;class
  Участники проекта ;0
  Календарный план и его выполнение ;0
  Оценка вклада участников ;0
  Работа с куратором ;0
  Работа с научным руководителем ;0
  Проблемы при работе над проектом ;0
 ЗАКЛЮЧЕНИЕ ;0
 Участники проекта;0
Данил Криворогов;0
В детстве был благовоспитанным мальчиком, но начал играть в компьютерные игры, связался с программистами и покатился... Характер дружелюбный;0
Не женат;0
Роль;0
Системный архитектор;0
Интересы в сфере разработки ПО;0
Системное программирование, например, создание игровых движков;0
Веб-разработка;0
О проекте;0
Впечатления о работе над проектом хорошие;0
В короткий срок освоил работу с новым фреймворком, получил опыт frontend разработки, опыт разработки в команде и осознал важность заблаговременного создания продуманной архитектуры;0
Особенно понравилось, что работа велась над реальным продуктом, задание для которого было дано заказчиком;0
В целом разработка прикладного ПО на основе веб технологий понравилась;0
Альберт Фазлыев;0
Очень хороший и умелый программист;0
Характер дружелюбный;0
Не женат;0
Роль;0
Инженер-программист;0
Интересы в сфере разработки ПО;0
Методы автоматического анализа данных;0
Методами построения ИИ, в том числе машинным обучением;0
Обработка естественных языков;0
Низкоуровневое программирование;0
О проекте;0
Получил опыт работы с заказчиком, опыт командной работы;0
Было интересно проявлять инициативу, привносить свои идеи, оценивать идеи других, коллективно определять вектор развития проекта, разделять и брать на себя задачи;0
Часто мы неверно определяли узкие места и оптимизации не всегда давали заметный эффект, но мы продолжали искать и, в конце концов, находили;0
Хоть починка багов/оптимизация и отнимали много сил, искать и, наконец, находить причины неисправностей/тормозов было интересно;0
А иногда причины были очень занятные;0
Если сравнивать скорость прокрутки ленты на первых версиях проекта и сейчас - то прогресс просто огромен, что сильно радует;0
Арсений Ходырев;0
Очень, очень хороший мальчик;0
Вежлив, правдив, скромен, добр;0
Слушает маму, каждое утро ищет баги;0
Характер очень дружелюбный;0
Роль;0
Frontend-разработчик, тестировщик;0
Интересы в сфере разработки ПО;0
Веб-разработка;0
Кроссплатформенное программирование;0
О проекте;0
Работа в команде показалась мне довольно интересной и познавательной;0
Понял, что системное программирование, в частности, разработка архитектуры проекта  на берегу  очень важные этапы создания продукта;0
Как и грамотное распределение задач, подзадач, и командная работа, в целом;0
Из этого проекта я вынес для себя много нового и утвердился в некотором старом;0
В одиночку можно добиться многого, а в команде   ещё большего;0
Дмитрий Шушарин;0
"Он же ""Капитан""";0
Обладатель Git репозитория;0
Много кодит и всегда с ошибками;0
Характер дружелюбный;0
Не женат;0
Роль;0
Frontend-разработчик, руководитель;0
Интересы в сфере разработки ПО;0
Веб-разработка;0
О проекте;0
Узнал много нового;0
Весь коллектив был дружелюбен и трудолюбив, особенно понравилось командная работа в стиле хакатонов, когда за сутки делаешь много функционала;0
Практика дала возможность почувствовать себя реальным разработчиком программных продуктов;0
Я - Шушарин Дмитрий, и я люблю программирование, в особенности фронтенд;0
Если предложат работать над бэкендом, с удовольствием соглашусь;0
 Календарный план и его выполнение;0
Работа команды была организована посредством согласованного составления перечня подзадач для каждого участника с учетом их предпочтений;0
Для совместной работы и контролем версий был использован GitHub ;0
Распределение задач между участниками проекта представлено в следующей таблице;0
Период выполнения;0
Описание задачи;0
Выполнявшие;0
Определение темы проекта;0
Все;0
Выбор технологий и изучение литературы по предметной области;0
Все;0
Обсуждение и защита тем практики;0
Все;0
Корректировка стека технологий с учётом замечаний;0
Все;0
Изучение основ языка программирования JavaScript;1
Все;0
Изучение графической библиотеки thee.js;1
Шушарин;0
Изучение документации фреймворка Electron;1
Все;0
Начало работы с библиотекой three.js;1
Шушарин;0
Изучение документации СУБД SQLite;1
Криворогов;0
Проектирование архитектуры базы данных;1
Криворогов;0
Реализован первый вариант визуализации хронологических лент;1
Шушарин;0
Добавление поддержки программным продуктом базы данных;1
Криворогов;0
Организовано взаимодействие серверной и клиентской частями приложения;1
Криворогов;0
Реализован прототип пользовательского интерфейса;1
Фазлыев, Ходырев;0
Существенные продвижения в визуализации хронологических лент и событий на них;1
Шушарин;0
Добавление возможности прокрутки событий перемещением ползунка;1
Фазлыев;0
Подготовка доклада для выступления на студенческой научной конференции;0
Ходырев;0
Реализована первая версия стека;1
Шушарин;0
Реализована первая версия масштабирования;1
Фазлыев, Шушарин;0
Добавление возможности взаимодействия с событиями и хронологическими лентами;1
Криворогов, Фазлыев;0
Добавление возможности прокрутки событий колёсиком мышки;1
Шушарин;0
Тестирование и оптимизация кода;1
Все;0
Презентация проекта на студенческой научной конференции;0
Ходырев, Шушарин;0
Написание научной статьи;1
Ходырев, Шушарин;0
Тестирование и оптимизация кода, исправление полученных замечаний;1
Все;0
Написание скрипта для нагрузочного тестирования;1
Фазлыев;0
Изучение конфигураций SQLite;1
Фазлыев;0
Отправка статьи для публикации в сборнике;0
Ходырев, Шушарин;0
Добавление кэша;1
Криворогов;0
Добавление контекстного меню;1
Криворогов;0
Оптимизация с учётом результатов нагрузочного тестирования;1
Криворогов, Шушарин;0
Оптимизация архитектуры проекта, исправление ошибок;1
Все;0
Реализация визуализации событий в стеке в виде сетки;1
Криворогов;0
Написание отчёта о практике;1
Ходырев;0
Добавление бокового меню;1
Криворогов, Фазлыев;0
Реализация горизонтального ползунка;1
Шушарин;0
Тестирование, оптимизация кода, исправление ошибок;1
Все;0
Исправлена ошибка с утечкой памяти;1
Криворогов;0
Реализация шейдера;1
Криворогов;0
Тестирование приложения, исправление ошибок;1
Все;0
Сдача отчёта о результатах практики;0
Все;0
 Оценка вклада участников;0
Согласованна всей командой оценка вклада в проект каждого участника проекта можно описать следующим образом;0
Данил хорошо изучил архитектуру Electron, межпроцессное взаимодействие клиента и сервера;0
Реализовал большую часть логики взаимодействия клиентской части с серверной, логику обработки событий, логику взаимодействия с базой данных;0
Он уже имел программирования на JavaScript , поэтому хорошо, что за эти задачи взялся именно он;0
Альберт на высоком уровне освоил конфигурации SQLite;0
Эти знания позволили ему создать скрипт для нагрузочного тестирования программы, что позволило выявить ряд ошибок, связанных с утечками памяти;0
Реализовал значительную часть пользовательского интерфейса и логики взаимодействия с ней;0
Арсений потратил большое время на тестирование проекта и нашел огромное количество неисправностей, которое другие участники проекта не смогли бы найти ;0
Оказывал посильную помощь Дмитрию в реализации визуализации на начальных этапах;0
Привносил здравые идеи развития проекта;0
Взял на себя огромный труд по отчётной работе;0
Дмитрий написал большую часть систем, работающих с графикой;0
Хорошо изучал библиотеку Three.js с первых дней, как она была предложена для реализации проекта;0
До этого не имел хорошего опыта ни с трехмерной графикой, ни с JavaScript, поэтому рост его умений особенно заметен;0
Участвовал в исправлении ошибок, найденных Арсением;0
 Работа с куратором;0
