sentence;class
ОПИСАНИЕ УЧАСТНИКОВ КОМАНДЫ ;0
ЗАКЛЮЧЕНИЕ ;0
ОПИСАНИЕ УЧАСТНИКОВ КОМАНДЫ;0
Работа команды была организована посредством согласованного выбора лидера команды и составления перечня подзадач для каждого участника с учетом его способностей;0
Было поставлено обязанностью как члена команды приходить на собрания с научным руководителем, сформирована комфортная атмосфера командной работы, где каждый мог обратиться к другим участникам за помощью при возникновении трудностей;0
Информация о каждом участнике команды содержит его роль в команде, интересах в IT-сфере, возложенных на него задачах, а также согласованной оценке выполненной работы;0
ФИО;0
Чеканова Елизавета Дмитриевна;0
Роль в команде;0
Руководитель проекта;0
Frontend-разработчик;0
Интересы в IT-сфере;0
Web-программирование;0
Машинное обучение;0
В рамках работы над проектом перед Елизаветой были поставлены следующие задачи;0
Организация работы команды, распределение задач участникам и формирование сроков их выполнения;0
Разработка прототипа интерфейса веб-сайта;1
Верстка и разработка дизайна веб-сайта с использованием Bootstrap и Laravel;1
Составление отчетных документов по работе команды;0
По окончании работы над проектом все поставленные задачи были успешно выполнены;0
Сложности Елизаветы в процессе работы над проектом;0
Для меня как для Frontend-разработчика проблема возникла с внешним видом веб-сайта;0
Хотелось создать сайт с удобным и красивым интерфейсом, чтобы пользователь не путался в кнопках и получал удовольствие от посещения веб-страниц;0
В процессе верстки было изменено несколько вариантов пользовательского интерфейса, пока в итоге не был получен конечный результат, которым я довольна;0
Также сложности возникли во взаимодействии с командой;0
Мне как руководителю проекта поначалу было тяжело организовать рабочий процесс, так как каждый участник по-своему видел решение проблемы;0
В итоге, распределив конкретные задачи для каждого члена команды и установив определенные сроки сдачи, работа была доведена до конца ;0
ФИО;0
Омаров Руслан Теймурович;0
Роль в команде;0
Backend-разработчик;0
Интересы в IT-сфере;0
Web-программирование Data Science;0
В рамках работы над проектом перед Русланом были поставлены следующие задачи;0
Внедрение библиотеки sklearn в проект;1
Изучение теоремы Байеса и алгоритмов Наивного Байесовского классификатора;1
Создание Наивного Байесовского классификатора для целей проекта;1
Подготовка обучающей выборки для классификатора;1
Импорт результатов работы MLPClassifier в базу данных;1
По окончанию проекта, все постановленные задачи были успешно выполнены;0
Сложности Руслана в процессе работы над проектом;0
Главной трудностью для меня стал поиск информации по теме Наивного Байесовского классификатора;0
Казалось бы, много статей, но найти корректный и понятный ресурс оказалось не так просто;0
Необходимо было анализировать и делать выводы самому с учетом приобретенных знаний прошлого семестра;0
Также нелегкой задачей было организовать эффективную коммуникацию в команде, но со временем это получалось лучше и лучше ;0
ФИО;0
Подольная Светлана Сергеевна;0
Роль в команде;0
Frontend-разработчик;0
Дизайнер;0
Интересы в IT-сфере;0
Web-программирование;0
Алгоритмы;0
В рамках работы над проектом перед Светланой были поставлены следующие задачи;0
Изучение метрики TF-IDF;1
Составление массивов ключевых слов по каждому институту ТюмГУ;1
Верстка и разработка дизайна веб-сайта по созданному прототипу;1
Создание и подключение к веб-сайту базы данных MySQL;1
Составление отчетных документов по работе команды;0
По окончании работы над проектом все поставленные задачи были успешно выполнены;0
Сложности Светланы в процессе работы над проектом;0
Трудностью для меня как участника группового проекта было взаимодействие с другими ребятами;0
В процессе обсуждений выяснялось, что каждый имеет свой взгляд на проблему, и часто даже раскрыть свое видение правильно и понятно для всех было нелегко;0
Однако именно этот момент способствовал обучению слаженной работе в команде;0
Также возникла проблема написания кода для веб-страницы, которая должна была отвечать общей стилистике ресурсов ТюмГУ;0
По моему мнению, результат получился удачным ;0
ФИО;0
Плахота Владислав Александрович;0
Роль;0
Спикер;0
Интересы в IT-сфере;0
Языки программирования;0
В рамках работы над проектом перед Владиславом были поставлены следующие задачи;0
Поиск аннотаций образовательных программ ТюмГУ;1
Выборка наиболее актуальных программ;1
"Чистка текста образовательных программ от лишних символов, знаков препинания и ""шапок""";1
Написание статьи по теме проекта, составление презентаций и выступление на конференции;0
По окончании работы над проектом все поставленные задачи были успешно выполнены;0
Сложности Владислава в процессе работы над проектом;0
В процессе выполнения поставленных за мною задач особенно сложно было разобраться с метрикой TF-IDF, так как ранее я с ней не работал;0
Также новым опытом для меня стало написание статьи по теме проекта, пришлось повозиться с правильным оформлением и содержанием;0
Однако все получилось, я считаю, это был хороший опыт командной работы ;0
ФИО;0
Малыш Михаил Сергеевич;0
Роль;0
Backend-разработчик;0
Интересы в IT-сфере;0
Алгоритмы;0
В рамках работы над проектом перед Михаилом были поставлены следующие задачи;0
Выгрузка текста вакансий и его обработка;1
Изучение теоремы Байеса и алгоритмов Наивного Байесовского классификатора;1
Создание Наивного Байесовского классификатора для целей проекта;1
Сравнение результатов работы Наивного Байесовского классификатора и многослойного перцептрона;1
Импорт результатов работы MLPClassifier в базу данных;1
По окончании работы над проектом все поставленные задачи были успешно выполнены;0
Сложности Михаила в процессе работы над проектом;0
Для меня как backend-разработчика трудным моментом стало составление тренировочной выборки для классификатора;0
Удалось выгрузить около  вакансий, что мало для обучения;0
К тому же части необходимо было присвоить самостоятельно соответствующий институт ТюмГУ;0
Сложности возникли и с метриками;0
метрика accuracy не подходила из-за несбалансированности данных;0
К счастью, справиться со всем удалось;0
Я был рад получить этот опыт;0
В решении проблем важна роль научного руководителя;0
Научным руководителем проекта является Мельникова Антонина Владимировна;0
Она своевременно выходила на связь, давала нужные и полезные рекомендации по ходу проекта, оценивала результаты работы;0
С точки зрения своего опыта вносила коррективы и направляла;0
Консультации с нашей командой проходили регулярно как в оффлайн, так и в онлайн формате;0
При возникновении каких-либо мелких вопросов всегда была возможность задать их посредством чата Microsoft Teems и быстро получить ответ;0
Антонина Владимировна проявила себя как ответственный руководитель, способный эффективно курировать работу команды;0
Также к нашему проекту привлекалась помощь студента -го курса Перегримова Арсения Михайловича, который поспособствовал его продвижению и успешному завершению;0
Он вник в проект и дал полезные рекомендации по усовершенствованию классификатора, подсказал метрики и поделился своими наработками как программист;0
Каждый участник команды внес свой вклад в создание и представление проекта, получил опыт командной разработки и имел возможность перенять навыки других членов команды;0
Работа была плодотворной и интересной;0
