sentence;class
 ЗАКЛЮЧЕНИЕ ;0
Гончар Алексей Алексеевич;0
Интересы;0
Разработка прикладных программ, Front-End;0
Задачи;0
   Разработка метода отображения маршрута на карте;1
   Заполнение сопроводительной документации;0
   Создание презентационных материалов;0
   Распределение задач на участников команды;0
Подзадачи табл;0
Создание презентации в процессе выбора темы;0
Разработка метода отображения маршрута на карте;1
Назначение задач участникам проекта в зависимости от их желания;0
Создание презентационных материалов для конференции;0
Заполнение итогового отчёта;0
Отслеживание процесса разработки;0
Распределение появляющихся задач в процессе разработки;0
Таблица ;0
Подзадачи Гончар;0
Проблемы;0
 Первой проблемой с которой я столкнулся это было не знание основ Xamarin.Forms, изначально пришлось изучать документацию чтобы понимать примерную структуру файлов и как они взаимодействуют;0
 Также тяжело было продумать интерфейс, начальная его версия была достаточно рабочей но не очень удобной, но благодаря отзывам согрупников получилось нарисовать дизайн который нас всех удовлетворит и будет приятен для пользователя;0
 Также были некоторые проблемы в распределении задач;0
Встречи с научным руководителем мне помогли по технической, организационной;0
Технически мне рассказали как лучше рисовать линию маршрута и почему выбрать именно этот элемент в SkiaSharp, также советовал как исправить презентации, на чём сделать акцент, а что наоборот убрать;0
Гончар Алексей Алексеевич   единогласно получает от других участников проекта оценку  Отлично  за отличное распределение задач, так же быстро реализованную часть приложения и учитывание пожеланий участников команды;0
А также создание презентационных материалов и выступление на их показе;0
Сайфулин Владислав Владимирович;0
Интересы;0
Front-end, Back-end, Алгоритмы, AI, Game-dev;0
Задачи;0
  Разработка приложения;1
  Разработка Web Api для хранения точек навигации ;1
  Разработка интерфейса;1
Подзадачи табл;0
Создание функции определения местоположения пользователя;1
Создание Asp.Net Core приложения для хранения актуальной информации о карте;1
Внедрение компаса в приложение;1
Создание векторных изображений схем этажей института;1
Отрисовка изображений SVG  в приложении;1
Создание интерфейса приложения;1
Создание функции отрисовки маршрута;1
Соединение частей приложения разработанных другими участниками команды;1
Таблица ;0
Подзадачи Сайфулин;0
Встречи с научным руководителем помогли мне решить многие технические проблемы, возникающие по мере разработки приложения, такие как;0
проблемы с переводом геодезических координат в координаты изображения карты, проблемы с хостингом Asp.Net Core приложения, проблемы с масштабированием карты;0
Проблемы;0
 Первой проблемой стала интеграция в новую команду, но меня быстро ввели в курс дела и я принялся за работу в обычном темпе;0
 Вторая проблема возникла когда я принялся за работу над классом LocationTools;0
Я столкнулся с непониманием того, как перевести геодезические координаты в прямоугольные, но эту проблему мне помог решить научный руководитель;0
 Третья проблема возникла при добавлении функций масштабирования и перемещения карты;0
Решить её мне помог научный руководитель;0
Сайфулин Владислав Владимирович   единогласно получает от других участников проекта оценку  Отлично  за своевременное выполнение поставленных задач;0
Его знания и желание изучать что то новое помогло нам справится с проектом;0
А также за его отлично читаемый код;0
Ермаков Даниил Николаевич;0
Интересы;0
Разработка прикладных программ, Алгоритмы;0
Задачи;0
  Реализация алгоритма построения графа;1
  Реализация алгоритма Дейкстры;1
  Создание точек маршрута с помощью векторного графического редактора  Inkscape  ;1
Подзадачи табл;0
Изучение алгоритмов нахождения кратчайшего пути в графах;1
Реализация алгоритма построения графа;1
Реализация алгоритма Дейкстры;1
Создание точек маршрута;1
Реализация алгоритма поиска ближайшей точки на ломанной соответствующей графу к точке местоположения;1
Заполнение итогового отчёта;0
Таблица ;0
Подзадачи Ермаков;0
Проблемы;0
Первая проблема с которой я столкнулся заключалась в выборе структуры данных для построения основы приложения;0
Сначала предполагалось использовать разновидность дерева, однако позже было принято решение использовать граф;0
Также возникла проблема из-за неточности типа данных double и их сравнения;0
Решением послужило взятие промежутка, в котором две переменные будут считаться равными;0
Встречи с научным руководителем помогли мне в технической и организационной части;0
По технической части мне подсказали, какую структуру данных лучше использовать в рамках нашей задачи;0
По организационной части мне подсказали как лучше именовать классы;0
Ермаков Даниил Николаевич   единогласно получает от других участников проекта оценку  Отлично , за быструю реализацию своих задач позволил проще отлаживать приложения, а также создание удобного интерфейса для работы с написанным им кодом;0
Заключение;0
