sentence;class
СОСТАВ ПРОЕКТНОЙ КОМАНДЫ ;0
КАЛЕНДАРНЫЙ ПЛАН ВЫПОЛНЕНИЯ РАБОТ ;0
РАБОТА С КУРАТОРАМИ ПРОЕКТА ;0
ВСТРЕЧИ С НАУЧНЫМ РУКОВОДИТЕЛЕМ ;0
СПЕЦИФИКА КОМАНДНОЙ РАБОТЫ НАД IT ПРОЕКТОМ И ОЦЕНКА ВКЛАДА КАЖДОГО ЕЁ УЧАСТНИКА ;0
ЗАКЛЮЧЕНИЕ                         ... ;0
СОСТАВ ПРОЕКТНОЙ КОМАНДЫ;0
Коровин Сергей Александрович;0
Лидер проектной команды, разработчик скрипта для поиска профилей студентов в соцсети  ВКонтакте , дизайнер, ответственный за заполнение всех контрольных точек и отчётных документов;0
Интересы в сфере разработки ПО;0
написание скриптов для решения прикладных задач, анализ пользовательских предпочтений, работа с VK API, создание интуитивно понятных интерфейсов для взаимодействия с пользователями, организационное управление и разработка визуальной составляющей ПО;0
Личностные качества;0
организованность, лидерские качества, критическое мышление, стремление к саморазвитию, коммуникативные навыки, грамотное употребление языка вовлечённость и готовность прийти на помощь;0
Бородина Валерия Александровна;0
Разработчик скрипта для выгрузки данных из ИС  Modeus , редактор научной публикации;0
Интересы в сфере разработки ПО;0
full-stack разработка веб-ресурсов, анализ данных, машинное обучение, написание скриптов для решения прикладных задач;0
Личностные качества;0
трудолюбие, самостоятельность, готовность прийти на помощь, гибкость мышления, способность к рефлексии и стремление к саморазвитию;0
Кочеткова Кира Вячеславовна;0
Разработчик рекомендательной системы;0
Интересы в сфере разработки ПО;0
разработка алгоритмов для решения различных задач, машинное обучение, нейронные сети, анализ данных;0
Личностные качества;0
разносторонний кругозор, готовность прийти на помощь, высокий уровень самоорганизации, вовлечённость в процесс и усидчивость, высокий уровень концентрации внимания при возможности его быстрого переключении;0
Слободяник Кристина Александровна;0
Разработчик интерфейса для взаимодействия рекомендательной системы с конечным пользователем;0
Интересы в сфере разработки ПО;0
разработка программ, решающих базовые задачи, концептуальная разработка и реализация баз данных и интуитивно понятных интерфейсов, в том числе работа с чат-ботами в  ВКонтакте  и  Telegram ;0
Личностные качества;0
позитивных взгляд на вещи, гибкость мышления, готовность прийти на помощь, лёгкая обучаемость, способность к рефлексии и умение слушать;0
КАЛЕНДАРНЫЙ ПЛАН ВЫПОЛНЕНИЯ РАБОТ;0
В ходе проектно-технологической практики каждый член команды заполнял собственный дневник задач, которые были им выполнены, в таблице  представлен полный график их выполнения;0
Все задачи были завершены в полном объёме с соблюдением заранее оговоренных сроков;0
Таблица ;0
Календарный график выполнения задач;0
Дата выполнения;0
Ответственный;0
Тип и краткое описание задачи;0
С. А. Коровин;0
Административная;0
Подготовка презентационных материалов для защиты темы проектно-технологической практики;0
Все члены команды;0
Административная;0
Брейншторм по доработке темы проекта и его реализации после защиты темы проектно-технологической практики;0
С. А. Коровин;0
Административная;0
Заполнение документации о проекте  Тема практики  и исправление замечаний после защиты;0
В. А. Бородина;0
