sentence;class
ЗАКЛЮЧЕНИЕ ;0
Одним из важных аспектов прохождения практики стала командная работа;0
За время работы над проектом, командой был отмечен такой плюс, как распределение задач, что в свою очередь уменьшает нагрузку на каждого участника, предоставляя больше свободного времени от проектной деятельности;0
Однако недостатком явилось то, что не всегда участники согласовывали индивидуальные задачи с командой, это привело к лишней работе некоторых участников;0
Участники команды;0
Маргарита Евгеньевна Габдраупова;0
Интересы в сфере разработки ПО;0
Тестирование и отладка, анализ данных, проектирование;0
Во время прохождения технологической практики получены навыки проектирования и тестирования приложений;0
Задачи;0
Распределение работы между участниками команды;0
Контроль своевременной реализации задач;0
Помощь всем участникам команды с их задачами;0
Поиск данных о доходах и расходах в открытом доступе;1
Поиск и изучение различных оптимизационных алгоритмов;1
Создание каркаса для сбора данных в виде таблиц в Excel ;1
Просмотр и изучение приложений различных банков и выписок из них по доходам и расходам;1
Знакомство со средой разработки Android Studio;1
Изучение задачи о рюкзаке, рассмотрение задачи с разных сторон в поисках подходящего алгоритма для оптимизации, основанного на данной задаче ;1
Составление документов, отчета;0
Составление презентации к защите темы ;0
Составление презентации для конференции ;0
Проектирование интерфейса;1
Просмотр различных аналоговых приложений;1
Изучение метода экспоненциального сглаживания и реализация в таблицах Excel на примере прогноза расходов  ;1
Тестирование приложения на разных наборах данных;1
Анализ полученных данных при тестировании;1
Исправление недочетов приложения, обнаруженных при тестировании ;1
Проблемы;0
Сложности в прочтении программного кода, реализованного участниками команды, но они также и помогли с этим разобраться;0
Осознание того, что во время студенческой конференции предстоит выступить в роли спикера, было волнительно и страшно, но зато был получен новый опыт вступления перед публикой;0
Маргарита хорошо поработала, успешно выполнив все свои задачи;0
Мадина Куанышевна Сулейманова;0
Интересы в сфере разработки ПО;0
Системное программирование, анализ данных, DevOps;0
Во время прохождения технологической практики получены навыки работы с данными и проектирования баз данных;0
Задачи;0
Поиск способов сбора данных;1
Просмотр и изучение приложений различных банков и выписок из них по доходам и расходам;1
Анализ и обработка данные, полученных из выписок банков;1
Сбор и перенос данных в единую таблицу Excel ;1
Подбор, изменение базовых категории;1
редактирование, дополнение уже имеющихся данных;1
Составление презентации для конференции ;0
Помощь в составлении документов;0
Написание данных в виде SQL-запросов;1
Добавление данных для тестирования приложения;1
Создание первоначальной базы данных в SQLite ;1
Знакомство со средой разработки Android Studio;1
Проблемы;0
Трудности в заказе выписок из банков за долгий период времени , т. к. банки выполняют такие запросы за время от недели до месяца;0
Выходом из данной ситуации было решение запрашивать выписки за более короткие сроки , и совмещать полученные данные;0
Мадина хорошо поработала и справилась со всеми своими задачами;0
Максим Евгеньевич Тихонов;0
Интересы в сфере разработки ПО;0
Функциональное программирование, проектирование графического интерфейса пользователя, работа с базой данных;0
Во время прохождения технологической практики получены навыки разработки мобильных приложений, использования баз данных в мобильных приложениях;0
Задачи;0
Разработка интерфейса ;1
Изучение среды разработки Android Studio;1
Интегрирование дизайна интерфейса в приложение;1
Изучение основ работы с базой данных SQLite в среде разработки Android Studio ;1
Разработка вспомогательного класса для взаимодействия между базой данных и приложением;1
Реализация возможности добавлять доходы с комментарием ;1
Реализация возможности чтения всех доходов ;1
Реализация возможности редактировать и удалять доходы, расходы;1
Реализация возможности добавлять пользовательские категории ;1
Реализация возможности вносить расходы с описанием и категорией;1
Реализация возможности просматривать все категории, просматривать все расходы по выбранной категории из списка всех категорий;1
 Связь разработанных алгоритмов оптимизации трат и прогнозирования с пользовательским интерфейсом;1
Помощь в составлении отчета;0
Проблемы;0
Добавление алгоритмов оптимизации и прогнозирования, реализованных с использованием базы данных, отличающейся от базы данных приложения;0
Решением стало добавление новой таблицы в первоначальную базу данных;0
Максим отлично поработал и справился со всеми своими задачами;0
Евгений Александрович Лемберг;0
Интересы в сфере разработки ПО;0
Проектирование алгоритмов, кодирование и компиляция, работа с базой данных;0
Во время прохождения технологической практики получены навыки разработки математических моделей, а также их применении в прикладной задаче;0
Задачи;0
Составление презентации к защите темы;0
Изучение различных алгоритмов и методов оптимизации и прогнозирования ;1
Занимался разработкой модели для накопления суммы за определенный период с оптимизацией трат;1
Решение задачи оптимизации из предыдущего пункта;1
Реализация алгоритма оптимизации на языке программирования java ;1
Нахождение подходящей модели для прогнозирования трат на будущее;1
Реализация прогнозирования временных рядов методом Брауна на языке java ;1
Составление базы данных для работы с алгоритмами;1
Проблемы;0
Реализация алгоритма оптимизации на основе задачи о рюкзаке;0
Решением проблемы стало создание собственного алгоритма, с использованием в виде весов важность категорий;0
Евгений отлично поработал, успешно выполнив все свои задачи;0
Встречи с научным руководителем проходили по расписанию представленному в Таблице   ;0
Антонина Владимировна вносила идеи в наш проект, говорила за что следует зацепиться и от чего отталкиваться;0
Встречи были действительно полезными и информативными;0
Таблица   ;0
Встречи с научным руководителем;0
 Сроки выполнения;0
Наименование работ;0
Встреча с научным руководителем;0
Выбор темы;0
Встреча с научным руководителем;0
Выбрана тема проекта для практики  Приложение для ведения семейного бюджета ;0
Встреча с научным руководителем;0
Разбор замечаний к теме проекта;0
Встреча с научным руководителем;0
Обсуждение данных и алгоритмов;0
Встреча с научным руководителем;0
Обсуждение модели для оптимизации;0
Встреча с научным руководителем и с кураторами с  курса;0
Формирование приложения;0
Встреча с научным руководителем;0
Обсуждение  остатка  и алгоритмов;0
Встреча с научным руководителем;0
Грамотное формирование отчета;0
Встреча с научным руководителем;0
Подписание документов;0
Также нам помогали кураторы с четвертого курса;0
Встреч было немного, но Екатерина и Анастасия помогли нам окончательно подобрать метод для прогнозирования   модель Брауна, и не отказались помочь нам со сбором данных, предоставив некоторые свои данные о доходах и расходах;0
ЗАКЛЮЧЕНИЕ;0
